27473.1,27104.32,27453.48,27423.96,27445.56,27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,
27104.32,27453.48,27423.96,27445.56,27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,
27453.48,27423.96,27445.56,27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,
27423.96,27445.56,27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,
27445.56,27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,
27516.53,27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,
27498.87,27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,
27927.47,27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,
27927.47,28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,
28237.78,28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,
28309.16,28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,
28444.19,28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,
28623.15,28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,
28143.97,27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,
27832.96,27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,
27222.04,27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,
27229.48,27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,
27010.61,27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,0,
27333.79,27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,0,0,
27333.79,26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,0,0,0,
26945.67,27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,0,0,0,0,
27466.61,27419.61,27385.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
27419.61,27385.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27385.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
